Partner ID,Brand,Category,Sub-Category,Product Titles,SKU,Partner SKU
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro A1398 (2012) Laptop With 15-Inch Display, Intel Core i7 Processor/Quad Core/16GB RAM/512GB SSD/Windows 10 English Silver",N70052785V-1,PSKU_47461_48344239456201709908_X
47461,DELL,Electronics,Laptops,"Renewed - Latitude 7390 2-in-1 Laptop With 13.3-Inch Touchscreen Display,Intel Core i5 Processor/8th Gen/8GB RAM/256GB SSD/Intel UHD Graphics 620/Windows 10 Pro English Black",N70071721V-1,PSKU_74949_44365353163155902089_X
47461,HP,Electronics,Laptops,"Refurbished - Elitebook 9480M Laptop With 14-Inch Display,Intel Core i5 Processor/4th Gen/8GB RAM/256GB SSD/Ã¢â‚¬Å½Intel HD Graphics 4000 English Silver",N52005510A,PSKU_47461_93397994407058760736_X
181587,CAT,Eyewear,Sunglasess,Precision 8501 men Polarized Square Sunglasses Blue 58mm,Z079CDB482351A72FCFBBZ-1,CPS-8501-119P
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro A1278 (2012) Laptop With 13.3-Inch Display, Core i5 Processor/10-Core/6GB RAM/500GB HDD/macOS English Silver",N70104160V-1,PSKU_47461_37177824138929598894_X
47461,DELL,Electronics,Laptops,"Renewed - Latitude 7280 Laptop With 12.5-Inch Display,Intel Core i7 Processor/7th Gen/16GB RAM/256GB SSD/Intel HD Graphics 620/Windows 10 Pro English Black",N70071725V-1,PSKU_74949_71184024608604529212_X
47461,HP,Electronics,Laptops,"Renewed - EliteBook 840 G5 Laptop With 14 Inch HD Display,7th Generation Core i5 7200U Processor/16GB DDR4 RAM/512GB SSD/Windows 10 Pro English Silver",N53394889A,PSKU_74949_28724272358496867267_X
47461,HP,Electronics,Laptops,"Renewed - EliteBook 850 G2 Laptop With 15.6-inch FHD Display,Core i7 Processor/5th Gen/8GB RAM/256GB SSD/Intel HD Graphics English Black",N53420531A,PSKU_47461_21424677957029252730_X
47461,HP,Electronics,Laptops,"Renewed - Elitebook 840 G8 Laptop With 14-Inch FHD Display,Intel Core i5/11th Gen Processor/16GBRAM/DDR4/512 GB SSD/Windows 10 Pro English Silver",N70013769V-1,PSKU_47461_38635772021490400252_X
47461,Lenovo,Electronics,Laptops,"Renewed - Thinkpad T480s Laptop With 14-Inch Display,Intel Core i7 Processor/8th Gen/16GB RAM/256GB SSD/Intel HD Graphics English Black",N50609653A,PSKU_47461_47158737180820667627_X
47461,Lenovo,Electronics,Laptops,"Renewed - Thinkpad T450 Laptop With 14-Inch Display,Intel Core i5 Processor/5th Gen/8GB RAM/256GB SSD/Intel HD Graphics English Black",N53334658A,PSKU_47461_44727304242536112743_X
74949,Lenovo,Electronics,Laptops,"Renewed - Yoga 11e Touch Chrome Book With 11.6-Inch Display,Intel Celeron Processor/3rd Gen/4GB RAM/16GB SSD/Integrated Graphics Black",N53378677A,PSKU_74949_84685249645132024033_X
181587,CAT,Eyewear,Sunglasess,Men CTS-Sensor Wrap Polarized Sunglasses Black 62mm,Z48A93956852540D003E2Z-1,CTS-SENSOR-108P
47461,Apple,Electronics,Mobile,Renewed - iPhone XS 256GB Gold 4G With Facetime - International Version,N37846321A,PSKU_47461_76242708517940297011_X
47461,Apple,Electronics,Mobile,Renewed - iPhone XS Max 256GB Gold 4G With Facetime - International Version,N37936510A,XS Max With
47461,DELL,Electronics,Laptops,"Renewed - Latitude 5480 (2017) Laptop With 14-Inch Display,Intel Core i5 Processor/7th Gen/8GB RAM/256GB SSD/Intel HD Graphics 620 English/Arabic Black",N50281388A,PSKU_47461_26484701102057227142_X
47461,HP,Electronics,Laptops,"Renewed - Chromebook G4 Laptop With 14-Inch Display, Intel Celeron 2nd Gen/4GB RAM/16GB SSD/256MB Intel HD Graphics English Black",N52015776A,PSKU_47461_89551735008208210490_X
47461,HP,Electronics,Laptops,"Renewed - Folio 9470m Laptop With 14-inch HD Display,Core i7 Processor/3rd Gen/8GB RAM/128GB SSD/Intel HD Graphics English Black",N53420527A,PSKU_47461_00344098826523585562_X
181587,CAT,Eyewear,Sunglasess,Precision 8510 Men Polarized Square Sunglasses Black 57mm,Z019F2BDEF2C95E1FD24CZ-1,CPS-8510-108P
47461,Apple,Electronics,Mobile,Renewed - iPhone X 256GB Silver 4G With Facetime,N37984676A,PSKU_47461_32813582891731688690_X
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro A1465 (2014) Laptop With 11.6-Inch Display, Core i5 Processor/Dual Core/4GB RAM/120GB SSD/macOS Silver",N53409327A,PSKU_74949_45567208800533926474_X
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro A1278 (2012) Laptop With 13-Inch Display, Intel Core i7 Processor/Quad Core/16GB RAM/512GB SSD/Windows 10 English Black",N70052841V-1,PSKU_47461_00380044126735754987_X
47461,DELL,Electronics,Laptops,"Refurbished - Lattidue E7270 Laptop With 12.5-Inch Display,Intel Core i5 Processor/6th Gen/8GB RAM/256GB SSD/64MBIntel HD Graphics 520 English Black",N52005495A,PSKU_74949_92336445642916921620_X
74949,Apple,Electronics,Laptops,"Renewed - Macbook Pro A1278 (2012) Laptop With 13.3-Inch Display,Intel Core i5 Processor/4th Gen/6GB RAM/500GB HDD/MacOS English Silver",N51630008A,PSKU_74949_88352871599185629797_X
74949,Apple,Electronics,Laptops,"Renewed - Macbook Air A1466 (2017) Laptop With 13.3-Inch Display, Intel Core i5 Processor/7th Gen/8GB RAM/120GB SSD/MacOS With English Keyboard English Silver",N70029579V-1,N51630012AMax
74949,Microsoft,Electronics,Laptops,"Renewed - Microsoft Surface Pro 6 2 in 1 Laptop With 12.3-Inch Touch Screen Display,Intel Core i5/8th Gen/8 GB RAM/256 GB SSD/Windows 10 Pro English Silver",N70093390V-1,PSKU_74949_15926062262346877422_X
181587,CAT,Eyewear,Sunglasess,Precision 8513 Men Polarized Square Sunglasses Black 55 mm,ZD10DE2ECE1C9A919FDC9Z-1,CPS-8513-104P
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro A2141 (2019) Laptop With 16-Inch Display, Core i9 Processor/Quad Core/32GB RAM/512GB SSD/macOS English Space Grey",N70065445V-1,PSKU_47461_23212726754819725885_X
47461,HP,Electronics,Laptops,"Refurbished - Elitebook 840 G6 Laptop With 14-Inch Display,Intel Core i5 Processor/8th Gen/8GB RAM/256GB SSD/Intel UHD Graphics 620 English Silver",N52005499A,PSKU_74949_28593495097198394304_X
47461,Lenovo,Electronics,Laptops,"Renewed - Thinkpad T480s Laptop With 14-Inch Display,Intel Core i7 Processor/8th Gen/16GB RAM/512GB SSD/Intel HD Graphics English Black",N53428045A,PSKU_47461_86305462336256796862_X
74949,DELL,Electronics,Laptops,"Renewed - Chromebook 3180 With 11.6-Inch Display,Intel Celeron N3060 Processor/6th Gen/2GB RAM/16GB SSD/Intel HD Graphics 400 English Black",N53372819A,PSKU_74949_84928998255483649420_X
181587,CAT,Eyewear,Sunglasess,Men CTS-8024 Polarized Navigator Sunglasses Black 59 mm,Z139B99CCBA9D1969805AZ-1,CTS-8024-004P
181587,CAT,Eyewear,Sunglasess,Men’s rectangular polarized gray sunglasses,Z5DC38A71E3609A50ECC6Z-1,CPS-8514-108P
181587,CAT,Eyewear,Sunglasess,men Precision 8505 Aviator Sunglasses Blue 58mm,Z9A4D9B7D0DB105D38E1DZ-1,CPS-8505-106P
181587,CAT,Eyewear,Sunglasess,Men CTS-8018 Polarized Wrap Sunglasses Black 61mm,ZC1EAF8F46D1577F792A3Z-1,CTS-8018-104P
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro A1398 (2014) Laptop With 15.4-Inch Full HD Display, Core i7 Processor/Dual Core/16GB RAM/256GB SSD/macOS Silver",N50479595A,PSKU_74949_36531322591429242659_X
47461,DELL,Electronics,Laptops,"Renewed - Latitude E5470 Laptop With 14.1-Inch Display,Intel Core i5/6th Gen/8GB RAM/256GB SSD/530MB Intel UHD Graphics/Windows 10 Pro Black",N53361221A,PSKU_74949_15984753503496032576_X
47461,HP,Electronics,Laptops,"Renewed - EliteBook 840 G6 Business Laptop With 14-Inch Display,Intel Core i7/8th Gen/16GB DDR4 RAM/512GB SSD/Windows 10 Pro English Silver",N53379727A,PSKU_74949_62783538414454495470_X
47461,Lenovo,Electronics,Laptops,"Renewed - ThinkPad T450s Laptop With 14-Inch Display,Intel Core i5 Processor/5th Gen/8GB RAM/512GB SSD/Intel UHD Graphics/Windows 10 Pro English Black",N53361287A,PSKU_74949_56242418571209680577_X
47461,Lenovo,Electronics,Laptops,"Renewed - ThinkPad 13 Laptop With 13.3-Inch HD Display,Intel Core i5-6th Gen Processor/8GB DDR4 RAM/256GB SSD/Windows 10 Pro English Black",N53421341A,PSKU_47461_65074181703011998505_X
181587,CAT,Eyewear,Sunglasess,Men CTS-8025 Polarized Pilot Sunglasses Brown 59 mm,Z1B0C0D81627F60FC7FAEZ-1,CTS-8025-005P
181587,CAT,Eyewear,Sunglasess,Men CTS-8019 Polarized High Wrap Rectangular Sunglasses Grey 63 mm,Z286401102C6EAD5E8648Z-1,CTS-8019-108P
181587,Superdry,Eyewear,Sunglasess,SHOCKWAVE Full-Rim Rectangular UV Protection Sunglasses - Blue,ZFF45363846108EA67464Z-1,SDS-SHOCKWAVE-153
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro A1990 (2019) Laptop With 15.4-Inch Full HD Display, Core i9 Processor/Quad Core/32GB RAM/512GB SSD/macOS English Space Grey",N70057459V-1,PSKU_74949_60958247792497942075_X
47461,Apple,Electronics,Laptops,"Renewed - MacBook Air (2020) Laptop With 13-Inch Full HD Display, Apple M1 Processor/Octa Core/8GB RAM/256GB SSD/macOS English Space Grey",N70062738V-1,PSKU_47461_83091783133968610890_X
47461,Apple,Electronics,Laptops,"Renewed - MacBook Pro (2021) Laptop With 14-Inch Display, Apple M1 Pro Processor/Octa Core/16GB RAM/512GB SSD/macOS English/Arabic Silver",N70122020V-1,PSKU_47461_85442962641270941238_X
